ID,Нэр,Оноо,Хөтөлбөр,letter_grade,above_average
S001,Одбаяр,96,Сэтгэл судлал,A,True
S002,Энхжаргал,77,Компьютерийн ухаан,C,True
S003,Халиун,66,Сэтгэл судлал,D,False
S004,Баттулга,58,Компьютерийн ухаан,F,False
S005,Энэбиш,84,"Санхүү, банк",B,True
S006,Болд,70,Мэдээллийн систем,C,False
S007,Билгүүн,58,Мэдээллийн систем,F,False
S008,Туяа,60,Компьютерийн ухаан,D,False
S009,Дорж,92,"Санхүү, банк",A,True
S010,Цэцэг,56,Сэтгэл судлал,F,False
S011,Энхжаргал,77,Эдийн засаг,C,True
S012,Тэмүүжин,50,Хиймэл оюун,F,False
S013,Оюун,89,Мэдээллийн систем,B,True
S014,Эрдэнэ,63,Компьютерийн ухаан,D,False
S015,Саран,74,Компьютерийн ухаан,C,False
S016,Гэрэл,92,Сэтгэл судлал,A,True
S017,Сарнай,87,Сэтгэл судлал,B,True
S018,Одбаяр,81,Сэтгэл судлал,B,True
S019,Гэрэл,87,Мэдээллийн систем,B,True
S020,Амгалан,53,Компьютерийн ухаан,F,False
S021,Наран,50,Хиймэл оюун,F,False
S022,Сарангэрэл,51,Сэтгэл судлал,F,False
S023,Туяа,100,Мэдээллийн систем,A,True
S024,Оюун,59,Мэдээллийн систем,F,False
S025,Нарантуяа,58,Сэтгэл судлал,F,False
S026,Халиун,51,Эдийн засаг,F,False
S027,Энхжаргал,95,Мэдээлэл технологи,A,True
S028,Гэрэл,63,Хиймэл оюун,D,False
S029,Цэцэг,84,Компьютерийн ухаан,B,True
S030,Баяр,75,Мэдээллийн систем,C,True
S031,Цэцэг,73,Программ хангамж,C,False
S032,Амар,52,"Санхүү, банк",F,False
S033,Цолмон,77,Сэтгэл судлал,C,True
S034,Халиун,69,Хиймэл оюун,D,False
S035,Ану,96,Эдийн засаг,A,True
S036,Одбаяр,66,Мэдээлэл технологи,D,False
S037,Амар,97,Компьютерийн ухаан,A,True
S038,Цолмон,66,Компьютерийн ухаан,D,False
S039,Алтангэрэл,67,Программ хангамж,D,False
S040,Батаа,61,Программ хангамж,D,False
S041,Баяр,99,Компьютерийн ухаан,A,True
S042,Дорж,66,Эдийн засаг,D,False
S043,Энэбиш,65,Компьютерийн ухаан,D,False
S044,Баасан,57,Хиймэл оюун,F,False
S045,Алтангэрэл,73,Программ хангамж,C,False
S046,Тамир,65,Компьютерийн ухаан,D,False
S047,Мөнх,96,Хиймэл оюун,A,True
S048,Ану,72,Мэдээллийн систем,C,False
S049,Цолмон,76,Мэдээллийн систем,C,True
S050,Халиун,92,Мэдээлэл технологи,A,True
S051,Сарангэрэл,91,Мэдээллийн систем,A,True
S052,Сарангэрэл,53,Сэтгэл судлал,F,False
S053,Тэмүүлэн,99,"Санхүү, банк",A,True
S054,Одбаяр,96,Мэдээлэл технологи,A,True
S055,Оюун,62,Программ хангамж,D,False
S056,Алтангэрэл,80,Мэдээлэл технологи,B,True
S057,Сүрэн,82,Мэдээллийн систем,B,True
S058,Мөнх,94,Сэтгэл судлал,A,True
S059,Мөнх,55,Компьютерийн ухаан,F,False
S060,Ану,87,Мэдээллийн систем,B,True
S061,Жаргал,57,Мэдээллийн систем,F,False
S062,Амгалан,95,Сэтгэл судлал,A,True
S063,Алтангэрэл,64,Хиймэл оюун,D,False
S064,Ганзориг,84,Мэдээллийн систем,B,True
S065,Оюун,83,Мэдээлэл технологи,B,True
S066,Сарнай,100,Эдийн засаг,A,True
S067,Батаа,80,"Санхүү, банк",B,True
S068,Сарангэрэл,50,Сэтгэл судлал,F,False
S069,Ану,59,"Санхүү, банк",F,False
S070,Одбаяр,96,Сэтгэл судлал,A,True
S071,Цэцэг,53,"Санхүү, банк",F,False
S072,Чулуун,94,Эдийн засаг,A,True
S073,Цэцэг,63,Хиймэл оюун,D,False
S074,Билгүүн,56,Программ хангамж,F,False
S075,Лхагва,94,Мэдээллийн систем,A,True
S076,Сарнай,59,"Санхүү, банк",F,False
S077,Наран,88,Компьютерийн ухаан,B,True
S078,Саран,65,"Санхүү, банк",D,False
S079,Саран,58,Программ хангамж,F,False
S080,Жаргал,91,Программ хангамж,A,True
S081,Халиун,88,Мэдээллийн систем,B,True
S082,Баяр,86,Программ хангамж,B,True
S083,Бат,69,Мэдээлэл технологи,D,False
S084,Туяа,82,"Санхүү, банк",B,True
S085,Дорж,70,Программ хангамж,C,False
S086,Амар,90,Хиймэл оюун,A,True
S087,Халиун,62,Компьютерийн ухаан,D,False
S088,Чулуун,57,Эдийн засаг,F,False
S089,Баасан,86,Компьютерийн ухаан,B,True
S090,Алтангэрэл,98,Сэтгэл судлал,A,True
S091,Ганзориг,78,Мэдээлэл технологи,C,True
S092,Ганзориг,88,"Санхүү, банк",B,True
S093,Амар,76,Мэдээллийн систем,C,True
S094,Лхагва,81,Сэтгэл судлал,B,True
S095,Ганзориг,96,Мэдээллийн систем,A,True
S096,Жаргал,93,Программ хангамж,A,True
S097,Бат,63,Компьютерийн ухаан,D,False
S098,Тэрбиш,62,Компьютерийн ухаан,D,False
S099,Туяа,98,Мэдээллийн систем,A,True
S100,Тэрбиш,86,Компьютерийн ухаан,B,True
S101,Сарнай,97,Эдийн засаг,A,True
S102,Билгүүн,72,Компьютерийн ухаан,C,False
S103,Баяр,95,Эдийн засаг,A,True
S104,Эрдэнэ,59,Сэтгэл судлал,F,False
S105,Цэцэг,78,Мэдээллийн систем,C,True
S106,Амар,99,Мэдээллийн систем,A,True
S107,Тэмүүлэн,53,Компьютерийн ухаан,F,False
S108,Болд,64,Мэдээллийн систем,D,False
S109,Бат,85,"Санхүү, банк",B,True
S110,Ганзориг,55,Мэдээллийн систем,F,False
S111,Халиун,95,Программ хангамж,A,True
S112,Энэбиш,99,Мэдээллийн систем,A,True
S113,Оюун,67,Хиймэл оюун,D,False
S114,Амгалан,75,Хиймэл оюун,C,True
S115,Эрдэнэ,84,Программ хангамж,B,True
S116,Одбаяр,78,Программ хангамж,C,True
S117,Болор,92,Хиймэл оюун,A,True
S118,Цэцэг,77,Программ хангамж,C,True
S119,Нарантуяа,56,Мэдээллийн систем,F,False
S120,Цолмон,61,Программ хангамж,D,False
S121,Саран,98,"Санхүү, банк",A,True
S122,Сүрэн,71,Эдийн засаг,C,False
S123,Одбаяр,86,Программ хангамж,B,True
S124,Тамир,51,Программ хангамж,F,False
S125,Бат,66,Мэдээлэл технологи,D,False
S126,Билгүүн,92,Программ хангамж,A,True
S127,Туяа,92,Компьютерийн ухаан,A,True
S128,Амгалан,77,Эдийн засаг,C,True
S129,Халиун,60,Сэтгэл судлал,D,False
S130,Батаа,76,Компьютерийн ухаан,C,True
S131,Нарантуяа,99,Мэдээллийн систем,A,True
S132,Алтангэрэл,77,Программ хангамж,C,True
S133,Сарнай,93,Мэдээллийн систем,A,True
S134,Мөнх,50,Программ хангамж,F,False
S135,Наран,68,Эдийн засаг,D,False
S136,Лхагва,87,Компьютерийн ухаан,B,True
S137,Тэрбиш,82,Компьютерийн ухаан,B,True
S138,Билгүүн,54,Эдийн засаг,F,False
S139,Билгүүн,80,Хиймэл оюун,B,True
S140,Цолмон,59,Мэдээлэл технологи,F,False
S141,Сарангэрэл,100,Эдийн засаг,A,True
S142,Цолмон,92,Сэтгэл судлал,A,True
S143,Жаргал,67,Мэдээлэл технологи,D,False
S144,Амгалан,75,Хиймэл оюун,C,True
S145,Зориг,60,Эдийн засаг,D,False
S146,Бат,66,Компьютерийн ухаан,D,False
S147,Тэрбиш,66,Программ хангамж,D,False
S148,Батаа,54,Мэдээлэл технологи,F,False
S149,Болд,67,Хиймэл оюун,D,False
S150,Тэрбиш,81,"Санхүү, банк",B,True
S151,Амгалан,59,Сэтгэл судлал,F,False
S152,Ану,55,"Санхүү, банк",F,False
S153,Лхагва,63,Программ хангамж,D,False
S154,Сүрэн,99,Компьютерийн ухаан,A,True
S155,Нарантуяа,97,"Санхүү, банк",A,True
S156,Халиун,86,Хиймэл оюун,B,True
S157,Туяа,50,"Санхүү, банк",F,False
S158,Чулуун,73,Мэдээллийн систем,C,False
S159,Гэрэл,74,Мэдээлэл технологи,C,False
S160,Дорж,64,"Санхүү, банк",D,False
S161,Батаа,84,Мэдээллийн систем,B,True
S162,Алтангэрэл,98,Хиймэл оюун,A,True
S163,Лхагва,92,Эдийн засаг,A,True
S164,Эрдэнэ,74,Компьютерийн ухаан,C,False
S165,Энэбиш,69,Мэдээллийн систем,D,False
S166,Алтангэрэл,69,Сэтгэл судлал,D,False
S167,Тамир,85,Мэдээллийн систем,B,True
S168,Туяа,54,Мэдээлэл технологи,F,False
S169,Ану,82,Программ хангамж,B,True
S170,Амгалан,99,Эдийн засаг,A,True
S171,Эрдэнэ,87,Программ хангамж,B,True
S172,Энхжаргал,86,Компьютерийн ухаан,B,True
S173,Болор,71,Программ хангамж,C,False
S174,Баасан,89,Компьютерийн ухаан,B,True
S175,Эрдэнэ,80,Сэтгэл судлал,B,True
S176,Тэмүүжин,55,Программ хангамж,F,False
S177,Тэмүүлэн,79,Мэдээллийн систем,C,True
S178,Наран,65,Сэтгэл судлал,D,False
S179,Цолмон,90,Мэдээлэл технологи,A,True
S180,Одбаяр,64,Сэтгэл судлал,D,False
S181,Энэбиш,61,Мэдээлэл технологи,D,False
S182,Болор,99,Сэтгэл судлал,A,True
S183,Цолмон,82,Программ хангамж,B,True
S184,Жаргал,70,Мэдээллийн систем,C,False
S185,Сүрэн,70,Мэдээлэл технологи,C,False
S186,Гэрэл,100,Компьютерийн ухаан,A,True
S187,Хулан,100,Компьютерийн ухаан,A,True
S188,Билгүүн,61,Компьютерийн ухаан,D,False
S189,Лхагва,84,Мэдээллийн систем,B,True
S190,Сүрэн,74,Эдийн засаг,C,False
S191,Энхжаргал,98,"Санхүү, банк",A,True
S192,Алтангэрэл,74,Программ хангамж,C,False
S193,Болор,87,Хиймэл оюун,B,True
S194,Халиун,70,Программ хангамж,C,False
S195,Цолмон,93,Хиймэл оюун,A,True
S196,Амар,78,Компьютерийн ухаан,C,True
S197,Наран,50,Хиймэл оюун,F,False
S198,Жаргал,91,Сэтгэл судлал,A,True
S199,Баасан,61,"Санхүү, банк",D,False
S200,Оюун,94,Сэтгэл судлал,A,True
