
ID,Нэр,Оноо,Хөтөлбөр
S001,Одбаяр,96,Сэтгэл судлал
S002,Энхжаргал,77,Компьютерийн ухаан
S003,Халиун,66,Сэтгэл судлал
S004,Баттулга,58,Компьютерийн ухаан
S005,Энэбиш,84,"Санхүү, банк"
S006,Болд,70,Мэдээллийн систем
S007,Билгүүн,58,Мэдээллийн систем
S008,Туяа,60,Компьютерийн ухаан
S009,Дорж,92,"Санхүү, банк"
S010,Цэцэг,56,Сэтгэл судлал
S011,Энхжаргал,77,Эдийн засаг
S012,Тэмүүжин,50,Хиймэл оюун
S013,Оюун,89,Мэдээллийн систем
S014,Эрдэнэ,63,Компьютерийн ухаан
S015,Саран,74,Компьютерийн ухаан
S016,Гэрэл,92,Сэтгэл судлал
S017,Сарнай,87,Сэтгэл судлал
S018,Одбаяр,81,Сэтгэл судлал
S019,Гэрэл,87,Мэдээллийн систем
S020,Амгалан,53,Компьютерийн ухаан
S021,Наран,50,Хиймэл оюун
S022,Сарангэрэл,51,Сэтгэл судлал
S023,Туяа,100,Мэдээллийн систем
S024,Оюун,59,Мэдээллийн систем
S025,Нарантуяа,58,Сэтгэл судлал
S026,Халиун,51,Эдийн засаг
S027,Энхжаргал,95,Мэдээлэл технологи
S028,Гэрэл,63,Хиймэл оюун
S029,Цэцэг,84,Компьютерийн ухаан
S030,Баяр,75,Мэдээллийн систем
S031,Цэцэг,73,Программ хангамж
S032,Амар,52,"Санхүү, банк"
S033,Цолмон,77,Сэтгэл судлал
S034,Халиун,69,Хиймэл оюун
S035,Ану,96,Эдийн засаг
S036,Одбаяр,66,Мэдээлэл технологи
S037,Амар,97,Компьютерийн ухаан
S038,Цолмон,66,Компьютерийн ухаан
S039,Алтангэрэл,67,Программ хангамж
S040,Батаа,61,Программ хангамж
S041,Баяр,99,Компьютерийн ухаан
S042,Дорж,66,Эдийн засаг
S043,Энэбиш,65,Компьютерийн ухаан
S044,Баасан,57,Хиймэл оюун
S045,Алтангэрэл,73,Программ хангамж
S046,Тамир,65,Компьютерийн ухаан
S047,Мөнх,96,Хиймэл оюун
S048,Ану,72,Мэдээллийн систем
S049,Цолмон,76,Мэдээллийн систем
S050,Халиун,92,Мэдээлэл технологи
S051,Сарангэрэл,91,Мэдээллийн систем
S052,Сарангэрэл,53,Сэтгэл судлал
S053,Тэмүүлэн,99,"Санхүү, банк"
S054,Одбаяр,96,Мэдээлэл технологи
S055,Оюун,62,Программ хангамж
S056,Алтангэрэл,80,Мэдээлэл технологи
S057,Сүрэн,82,Мэдээллийн систем
S058,Мөнх,94,Сэтгэл судлал
S059,Мөнх,55,Компьютерийн ухаан
S060,Ану,87,Мэдээллийн систем
S061,Жаргал,57,Мэдээллийн систем
S062,Амгалан,95,Сэтгэл судлал
S063,Алтангэрэл,64,Хиймэл оюун
S064,Ганзориг,84,Мэдээллийн систем
S065,Оюун,83,Мэдээлэл технологи
S066,Сарнай,100,Эдийн засаг
S067,Батаа,80,"Санхүү, банк"
S068,Сарангэрэл,50,Сэтгэл судлал
S069,Ану,59,"Санхүү, банк"
S070,Одбаяр,96,Сэтгэл судлал
S071,Цэцэг,53,"Санхүү, банк"
S072,Чулуун,94,Эдийн засаг
S073,Цэцэг,63,Хиймэл оюун
S074,Билгүүн,56,Программ хангамж
S075,Лхагва,94,Мэдээллийн систем
S076,Сарнай,59,"Санхүү, банк"
S077,Наран,88,Компьютерийн ухаан
S078,Саран,65,"Санхүү, банк"
S079,Саран,58,Программ хангамж
S080,Жаргал,91,Программ хангамж
S081,Халиун,88,Мэдээллийн систем
S082,Баяр,86,Программ хангамж
S083,Бат,69,Мэдээлэл технологи
S084,Туяа,82,"Санхүү, банк"
S085,Дорж,70,Программ хангамж
S086,Амар,90,Хиймэл оюун
S087,Халиун,62,Компьютерийн ухаан
S088,Чулуун,57,Эдийн засаг
S089,Баасан,86,Компьютерийн ухаан
S090,Алтангэрэл,98,Сэтгэл судлал
S091,Ганзориг,78,Мэдээлэл технологи
S092,Ганзориг,88,"Санхүү, банк"
S093,Амар,76,Мэдээллийн систем
S094,Лхагва,81,Сэтгэл судлал
S095,Ганзориг,96,Мэдээллийн систем
S096,Жаргал,93,Программ хангамж
S097,Бат,63,Компьютерийн ухаан
S098,Тэрбиш,62,Компьютерийн ухаан
S099,Туяа,98,Мэдээллийн систем
S100,Тэрбиш,86,Компьютерийн ухаан
S101,Сарнай,97,Эдийн засаг
S102,Билгүүн,72,Компьютерийн ухаан
S103,Баяр,95,Эдийн засаг
S104,Эрдэнэ,59,Сэтгэл судлал
S105,Цэцэг,78,Мэдээллийн систем
S106,Амар,99,Мэдээллийн систем
S107,Тэмүүлэн,53,Компьютерийн ухаан
S108,Болд,64,Мэдээллийн систем
S109,Бат,85,"Санхүү, банк"
S110,Ганзориг,55,Мэдээллийн систем
S111,Халиун,95,Программ хангамж
S112,Энэбиш,99,Мэдээллийн систем
S113,Оюун,67,Хиймэл оюун
S114,Амгалан,75,Хиймэл оюун
S115,Эрдэнэ,84,Программ хангамж
S116,Одбаяр,78,Программ хангамж
S117,Болор,92,Хиймэл оюун
S118,Цэцэг,77,Программ хангамж
S119,Нарантуяа,56,Мэдээллийн систем
S120,Цолмон,61,Программ хангамж
S121,Саран,98,"Санхүү, банк"
S122,Сүрэн,71,Эдийн засаг
S123,Одбаяр,86,Программ хангамж
S124,Тамир,51,Программ хангамж
S125,Бат,66,Мэдээлэл технологи
S126,Билгүүн,92,Программ хангамж
S127,Туяа,92,Компьютерийн ухаан
S128,Амгалан,77,Эдийн засаг
S129,Халиун,60,Сэтгэл судлал
S130,Батаа,76,Компьютерийн ухаан
S131,Нарантуяа,99,Мэдээллийн систем
S132,Алтангэрэл,77,Программ хангамж
S133,Сарнай,93,Мэдээллийн систем
S134,Мөнх,50,Программ хангамж
S135,Наран,68,Эдийн засаг
S136,Лхагва,87,Компьютерийн ухаан
S137,Тэрбиш,82,Компьютерийн ухаан
S138,Билгүүн,54,Эдийн засаг
S139,Билгүүн,80,Хиймэл оюун
S140,Цолмон,59,Мэдээлэл технологи
S141,Сарангэрэл,100,Эдийн засаг
S142,Цолмон,92,Сэтгэл судлал
S143,Жаргал,67,Мэдээлэл технологи
S144,Амгалан,75,Хиймэл оюун
S145,Зориг,60,Эдийн засаг
